Person_id|Organisation_id|classYear
190999|17670|0
191004|18296|0
191006|18270|0
191008|19795|0
191013|23174|0
191015|16876|0
191020|23174|0
191021|23151|0
191025|18295|0
191029|18291|0
191031|23012|0
191032|20227|0
191038|18115|0
191041|18223|0
191042|18295|0
191046|17809|0
191047|17565|0
191050|17231|0
191055|18294|0
191057|17138|0
191066|21429|0
191074|20804|0
191075|23177|0
191076|18294|0
191078|21903|0
191081|18115|0
191082|23205|0
191085|16859|0
191086|19026|0
191087|19805|0
191090|18501|0
191097|18295|0
191098|21901|0
191099|20226|0
191101|18519|0
191103|21260|0
191108|19954|0
191110|20325|0
191111|17491|0
191112|17462|0
191113|18310|0
191115|21952|0
191117|21672|0
191120|23182|0
191121|17641|0
191123|18224|0
191124|21775|0
191132|17092|0
191133|23179|0
191134|20210|0
191135|18404|0
191136|16878|0
191139|18294|0
191141|21903|0
191144|17461|0
191146|20046|0
191150|21151|0
191152|23226|0
191153|23155|0
191157|20517|0
191158|23179|0
191160|16890|0
191161|20804|0
191164|23209|0
191173|16888|0
191181|21464|0
191185|16922|0
191186|20552|0
191187|17751|0
191188|16859|0
191192|21764|0
191193|18115|0
191194|19946|0
191195|20438|0
191197|20325|0
191200|20781|0
191201|17065|0
191207|17931|0
191208|17713|0
191210|17095|0
191211|20517|0
191213|23234|0
191216|20230|0
191217|17591|0
191221|17491|0
191225|20517|0
191228|17488|0
191232|18295|0
191233|19424|0
191234|18262|0
191238|17091|0
191239|17919|0
191240|18290|0
191242|17176|0
191244|18295|0
191246|18225|0
191248|17138|0
191253|20736|0
191254|20232|0
191257|17138|0
191258|18795|0
191262|17776|0
191267|18229|0
191272|16917|0
191277|18291|0
191278|22082|0
191279|21835|0
191280|20805|0
191282|17491|0
191286|20435|0
191288|17717|0
191292|17842|0
191296|18294|0
191298|21821|0
191300|17488|0
191301|20804|0
191306|23231|0
191308|17491|0
191310|18520|0
191312|21429|0
191313|17489|0
191314|23182|0
191316|17491|0
191320|21832|0
191321|22728|0
191322|21952|0
191325|17516|0
191327|16858|0
191330|23224|0
191331|18291|0
191339|17712|0
191341|21719|0
191342|17661|0
191354|17806|0
191355|20809|0
191359|18291|0
191360|18341|0
191361|21225|0
191366|17703|0
191368|20225|0
191369|19490|0
191372|17491|0
191373|18294|0
191376|17081|0
191380|17722|0
191382|17733|0
191385|16894|0
191386|23036|0
191391|21827|0
191395|18295|0
191400|18225|0
191402|21264|0
191404|21935|0
191412|21326|0
191413|17769|0
191415|18113|0
191420|17650|0
191422|17720|0
191427|21222|0
191433|21319|0
191434|21452|0
191438|17491|0
191439|19104|0
191440|16893|0
191441|20325|0
191448|17489|0
191454|21920|0
191455|23182|0
191456|21838|0
191461|16888|0
191464|20221|0
191465|17084|0
191467|18295|0
191473|20618|0
191474|20768|0
191477|20319|0
191479|21154|0
191480|19954|0
191481|21952|0
191482|20802|0
191484|17261|0
191486|18291|0
191487|21604|0
191488|16888|0
191492|21086|0
191494|21263|0
191496|23174|0
191497|21822|0
191501|17261|0
191505|17489|0
191507|23177|0
191510|23227|0
191511|17835|0
191519|17975|0
191521|18224|0
191522|19457|0
191524|21713|0
191525|20427|0
191527|19878|0
191531|17461|0
191533|18291|0
191534|18296|0
191535|18108|0
191536|17771|0
191537|20552|0
191538|20552|0
191539|23217|0
191542|17230|0
191543|20422|0
191545|18260|0
191549|17975|0
191551|21432|0
191552|17461|0
191566|20145|0
191568|18115|0
191572|16856|0
191574|17491|0
191578|18715|0
191584|17261|0
191585|17488|0
191590|20422|0
191592|20949|0
191595|18296|0
191601|18294|0
191604|18295|0
191607|18291|0
191616|18113|0
191618|20739|0
191620|16918|0
191622|17243|0
191623|21744|0
191625|18295|0
191626|19735|0
191627|17493|0
191628|23233|0
191629|20266|0
191630|17728|0
191632|18294|0
191634|17261|0
191635|21264|0
191636|18294|0
191638|18226|0
191642|20804|0
191645|18294|0
191653|17933|0
191656|19856|0
191657|20811|0
191659|21688|0
191663|17669|0
191666|17732|0
191669|18294|0
191672|21083|0
191675|17493|0
191681|18296|0
191686|18224|0
191688|19800|0
191694|18296|0
191695|23228|0
191697|20823|0
191701|23179|0
191705|18295|0
191716|22083|0
191717|17493|0
191719|18159|0
191722|20967|0
191725|20445|0
191731|22085|0
191734|21903|0
191735|18226|0
191736|17493|0
191739|17489|0
191744|18295|0
191746|21720|0
191750|21283|0
191751|20344|0
191754|18290|0
191756|19873|0
191757|21835|0
191764|20319|0
191765|17930|0
191766|16924|0
191768|17836|0
191769|18113|0
191777|17579|0
191778|20273|0
191779|19204|0
191784|21223|0
191785|21742|0
191787|17488|0
191790|19800|0
191795|17130|0
191797|18294|0
191798|19810|0
191799|18258|0
191800|20804|0
191805|20466|0
191806|17491|0
191810|18296|0
191814|17488|0
191818|22082|0
191826|16859|0
191832|23173|0
191835|18295|0
191836|21429|0
191841|23197|0
191842|17261|0
191847|17493|0
191849|20231|0
191851|21838|0
191857|16891|0
191861|21768|0
191863|17573|0
191872|23177|0
191874|20802|0
191877|18296|0
191878|18113|0
191879|20809|0
191881|17493|0
191884|18291|0
