Person_id|Place_id
191597|343
191599|778
191600|1425
191601|161
191603|1331
191604|228
191612|679
191613|919
191617|325
191621|386
191626|269
191629|529
191632|248
191633|269
191639|590
191641|499
191642|796
191643|692
191647|825
191648|117
191650|1406
191652|884
191653|1122
191658|643
191659|1368
191660|1084
191661|1267
191663|1069
191665|684
191670|449
191672|1286
191678|720
191679|153
191681|137
191685|1273
191688|642
191690|250
191691|892
191693|1331
191697|795
191699|1299
191703|866
191705|210
191712|1147
191713|183
191723|502
191724|1123
191736|342
191737|628
191738|841
191742|410
191743|140
191751|720
191753|724
191754|186
191755|529
191756|1162
191758|1369
191759|599
191769|618
191770|295
191773|876
191774|791
191776|1340
191778|1209
191781|1050
191782|238
191783|591
191784|1312
191793|604
191797|185
191798|669
191800|794
191803|703
191804|1084
191806|398
191807|1104
191809|604
191815|1374
191817|190
191820|410
191821|1278
191823|958
191824|269
191826|958
191833|745
191835|180
191843|1216
191844|1366
191845|1215
191846|642
191850|714
191853|836
191854|205
191859|985
191860|599
191862|1363
191864|150
191866|919
191869|684
191870|567
191871|256
191874|795
191876|262
191878|627
191879|796
191884|294
191886|567
